"Raw Data File","cells","tracer molecule","labelled positions","abundance","Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment","retention(min)","m/z monitored","signal intensity","isotopologue","isotologue abundance relative concentration"
"GlycHyp1_03.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,331,0.053,"Glyc_13C3","0.179"
"GlycHyp1_03.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,332,0.02,"Glyc_13C4","1.075"
"GlycHyp1_03.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,333,0.003,"Glyc_13C5","0.023"
"GlycHyp1_03.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,334,0.003,"Glyc_13C6","0.147"
"GlycHyp2_01.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,327,0,"",NA
"GlycHyp2_01.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,328,0.514,"Glyc_13C0","63.622"
"GlycHyp2_01.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,329,0.083,"Glyc_13C1","-1.143"
"GlycHyp2_01.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,330,0.33,"Glyc_13C2","36.225"
"GlycHyp2_01.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,331,0.049,"Glyc_13C3","0.099"
"GlycHyp2_01.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,332,0.019,"Glyc_13C4","1.054"
"GlycHyp2_01.CDF","hubec","D-[1,2-C13]-Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N",3.74,333,0.002,"Glyc_13C5","0.025"
